date,open,high,low,close,volume
2026-04-01,252.5,256.0,251.0,251.5,12122969
2026-04-02,256.0,257.0,245.0,246.0,13724318
2026-04-07,250.0,257.0,249.5,256.0,12824931
2026-04-08,267.5,273.5,264.0,271.5,23604593
2026-04-09,276.0,282.0,273.0,281.5,35053346
2026-04-10,290.0,292.0,283.0,285.0,32500766
2026-04-13,300.5,311.0,292.0,303.5,98816325
2026-04-14,311.5,314.0,299.0,312.0,71255856
2026-04-15,321.5,332.0,316.5,322.0,76263816
2026-04-16,320.0,331.5,304.5,325.0,68355051
2026-04-17,330.0,336.5,316.0,316.5,50323777
2026-04-20,320.0,329.5,315.5,319.5,31507671
2026-04-21,326.0,329.0,317.0,323.0,33539837
2026-04-22,329.0,329.0,315.5,315.5,30222804
2026-04-23,316.0,320.0,289.5,295.0,58857941
2026-04-24,295.5,301.0,290.0,297.0,32633203
2026-04-27,300.0,310.0,292.5,305.0,33181607
2026-04-28,310.0,329.0,307.0,326.5,51369522
2026-04-29,325.0,328.5,317.5,322.0,28052238
2026-04-30,323.0,333.0,317.0,317.0,35517666
2026-05-04,327.0,345.0,314.0,342.5,54798027
2026-05-05,344.5,357.5,341.0,348.5,39818124
2026-05-06,360.0,361.5,331.0,338.0,44347027
2026-05-07,345.5,371.5,337.5,371.5,52950937
2026-05-08,390.0,400.0,369.5,389.0,96857168
2026-05-11,394.5,398.5,370.0,391.5,51692723
2026-05-12,399.0,430.0,390.5,419.5,63365273
2026-05-13,410.0,427.5,404.0,420.0,53261565
2026-05-14,462.0,462.0,462.0,462.0,17046742
2026-05-15,462.0,492.5,447.5,455.5,116741355
2026-05-18,475.0,501.0,467.5,501.0,92207451
2026-05-19,501.0,516.0,485.5,497.0,89070238
2026-05-20,514.0,545.0,503.0,520.0,84883235
2026-05-21,561.0,572.0,560.0,572.0,24699193
2026-05-22,605.0,629.0,600.0,629.0,73991747
2026-05-25,679.0,691.0,662.0,691.0,67663245
2026-05-26,674.0,678.0,631.0,661.0,29457930
2026-05-27,683.0,727.0,683.0,701.0,24969369
2026-05-28,709.0,769.0,709.0,742.0,25023375
2026-05-29,775.0,784.0,735.0,738.0,28926802
2026-06-01,765.0,811.0,765.0,790.0,32143661
2026-06-02,771.0,847.0,757.0,846.0,23216094
2026-06-03,810.0,844.0,810.0,820.0,16771572
2026-06-04,775.0,788.0,743.0,743.0,24383227
2026-06-05,708.0,778.0,670.0,769.0,29037062
2026-06-08,693.0,751.0,693.0,751.0,26219850
2026-06-09,790.0,826.0,772.0,826.0,52270522
2026-06-10,864.0,908.0,803.0,819.0,100512220
2026-06-11,850.0,861.0,761.0,842.0,121334804
2026-06-12,919.0,919.0,852.0,855.0,90466919
2026-06-15,921.0,940.0,921.0,940.0,42102101
2026-06-16,970.0,1000.0,950.0,950.0,79608290
2026-06-17,936.0,998.0,930.0,984.0,56180641
2026-06-18,1015.0,1080.0,974.0,1080.0,93655965
2026-06-22,1115.0,1120.0,1040.0,1065.0,62351693
2026-06-23,1060.0,1085.0,1020.0,1020.0,46353029
2026-06-24,1005.0,1075.0,985.0,1050.0,49108726
2026-06-25,1070.0,1155.0,1040.0,1125.0,61345553
2026-06-26,1100.0,1100.0,1015.0,1015.0,58156126
2026-06-29,985.0,1065.0,979.0,1040.0,40955663
2026-06-30,1065.0,1140.0,1045.0,1140.0,57942123
2026-07-01,1200.0,1220.0,1130.0,1140.0,71542282
2026-07-02,1095.0,1125.0,1040.0,1055.0,46303421
2026-07-03,1010.0,1075.0,999.0,1045.0,44635306
2026-07-06,1045.0,1055.0,985.0,1005.0,42912780
2026-07-07,1000.0,1025.0,905.0,905.0,65596739
2026-07-08,906.0,930.0,856.0,891.0,70899485
2026-07-09,915.0,948.0,900.0,900.0,51406489
2026-07-13,921.0,921.0,810.0,816.0,72043684
2026-07-14,798.0,823.0,737.0,778.0,82779815
2026-07-15,799.0,813.0,773.0,798.0,52243302
2026-07-16,775.0,807.0,775.0,776.0,43167093
2026-07-17,710.0,724.0,699.0,699.0,47311948
2026-07-20,663.0,666.0,630.0,630.0,39385060
2026-07-21,621.0,680.0,608.0,670.0,96163970
2026-07-22,713.0,730.0,676.0,703.0,75283059
2026-07-23,708.0,732.0,681.0,696.0,59707395
2026-07-24,679.0,685.0,639.0,642.0,41798307
2026-07-27,650.0,655.0,590.0,625.0,56857378
2026-07-28,575.0,582.0,563.0,563.0,35712662
2026-07-29,539.0,545.0,507.0,507.0,51708941
2026-07-30,479.5,527.0,456.5,456.5,106828585
2026-07-31,502.0,502.0,502.0,502.0,6398641
2026-08-03,534.0,552.0,526.0,552.0,22438342
2026-08-04,581.0,583.0,545.0,566.0,97625584
2026-08-05,608.0,618.0,568.0,578.0,63678413
2026-08-06,563.0,578.0,536.0,570.0,53296450
2026-08-07,560.0,578.0,531.0,540.0,44277453
2026-08-10,558.0,578.0,557.0,573.0,36354305
2026-08-11,568.0,623.0,567.0,617.0,81650622
2026-08-12,607.0,625.0,600.0,602.0,56066841
2026-08-13,631.0,662.0,626.0,662.0,46850905
2026-08-14,668.0,668.0,617.0,622.0,73827926
2026-08-17,620.0,622.0,596.0,608.0,36648051
2026-08-18,614.0,615.0,574.0,576.0,37659843
2026-08-19,547.0,590.0,547.0,576.0,56295383
2026-08-20,583.0,583.0,550.0,562.0,43070768
2026-08-21,561.0,567.0,553.0,554.0,20632149
2026-08-24,557.0,580.0,551.0,551.0,23354983
2026-08-25,547.0,548.0,515.0,544.0,34567419
2026-08-26,535.0,540.0,526.0,537.0,27582304
2026-08-27,545.0,560.0,529.0,555.0,50182079
2026-08-28,581.0,610.0,576.0,597.0,81106200
2026-08-31,580.0,590.0,538.0,545.0,71750955
2026-09-01,551.0,576.0,550.0,568.0,57762664
2026-09-02,552.0,552.0,537.0,540.0,35836154
2026-09-03,545.0,545.0,511.0,511.0,34250413
2026-09-04,535.0,562.0,532.0,562.0,57702985
2026-09-07,575.0,605.0,570.0,589.0,71286963
2026-09-08,580.0,584.0,565.0,567.0,39419068
