date,open,high,low,close,volume
2024-09-02,43.8,43.8,42.6,42.65,9139887
2024-09-03,42.5,42.6,41.9,41.9,9473574
2024-09-04,40.55,40.7,39.3,39.4,24298606
2024-09-05,39.7,39.75,38.5,38.7,14625547
2024-09-06,38.6,39.3,38.25,38.85,8165281
2024-09-09,38.0,38.05,37.35,37.35,19706914
2024-09-10,37.35,37.4,36.7,36.75,18561078
2024-09-11,36.85,37.8,36.8,37.5,9537806
2024-09-12,38.35,38.4,37.55,37.9,10789107
2024-09-13,37.8,39.95,37.8,39.4,13045604
2024-09-16,39.65,41.0,39.35,40.65,17974807
2024-09-18,40.9,41.3,40.55,40.65,11923400
2024-09-19,40.65,41.0,40.2,41.0,7429911
2024-09-20,41.1,41.6,40.8,41.2,13268343
2024-09-23,41.6,41.65,40.5,40.8,7707551
2024-09-24,40.55,41.05,40.2,41.0,7047397
2024-09-25,41.5,41.95,41.15,41.95,10652235
2024-09-26,42.4,42.4,41.55,41.85,5504770
2024-09-27,42.2,44.5,42.05,44.3,20867958
2024-09-30,43.85,44.5,43.45,43.45,13235958
2024-10-01,43.45,43.5,42.7,43.35,6473258
2024-10-04,43.05,45.45,43.05,43.35,12892631
2024-10-07,43.6,43.95,42.4,43.3,8967085
2024-10-08,42.75,43.2,41.85,42.1,9368968
2024-10-09,42.1,42.1,41.0,41.25,8205949
2024-10-11,41.75,42.05,41.15,41.2,4368669
2024-10-14,40.1,40.25,39.5,39.95,9891246
2024-10-15,39.8,40.1,39.55,39.8,7134120
2024-10-16,39.25,39.45,38.7,39.0,8998016
2024-10-17,39.4,40.65,39.2,40.3,11092385
2024-10-18,40.1,40.5,39.9,40.1,5305713
2024-10-21,40.5,40.5,38.85,38.9,10727181
2024-10-22,38.9,38.95,38.4,38.65,4014764
2024-10-23,38.75,39.05,38.3,38.3,4836776
2024-10-24,38.3,38.95,38.1,38.55,5377087
2024-10-25,38.85,39.05,38.4,38.5,3510625
2024-10-28,38.8,39.75,38.65,39.65,7311372
2024-10-29,39.3,39.5,38.6,38.9,7018403
2024-10-30,39.2,39.3,38.6,38.7,4747834
2024-11-01,38.45,38.6,37.8,38.4,9051874
2024-11-04,38.15,38.5,38.15,38.4,2990055
2024-11-05,38.4,38.7,38.05,38.4,5912942
2024-11-06,38.3,38.85,38.15,38.35,6003949
2024-11-07,38.15,39.5,38.15,39.35,7320216
2024-11-08,39.5,39.5,38.3,38.3,7626826
2024-11-11,38.1,38.1,36.9,37.15,11264325
2024-11-12,36.8,36.8,36.1,36.1,11894990
2024-11-13,35.9,36.0,35.4,35.55,14156619
2024-11-14,35.45,35.6,34.65,34.8,11498766
2024-11-15,34.8,36.2,34.8,35.4,9601533
2024-11-18,35.9,36.9,35.75,36.25,17455939
2024-11-19,36.25,36.45,35.55,36.45,6729668
2024-11-20,36.15,36.25,35.5,35.65,7548732
2024-11-21,35.35,35.45,34.9,35.2,7542941
2024-11-22,35.45,35.9,35.2,35.2,5726424
2024-11-25,35.8,36.2,35.6,36.2,16673214
2024-11-26,36.15,36.65,35.6,35.65,7541957
2024-11-27,35.8,35.8,34.8,34.8,7256594
2024-11-28,34.95,35.05,34.25,34.8,11429783
2024-11-29,34.35,34.35,33.8,33.85,13281234
2024-12-02,34.05,34.25,33.5,33.7,11071956
2024-12-03,33.95,34.85,33.95,34.65,12701939
2024-12-04,34.8,34.95,34.05,34.1,7637392
2024-12-05,34.15,34.3,33.5,33.5,7926683
2024-12-06,33.4,33.75,33.2,33.3,9998852
2024-12-09,33.65,33.95,32.7,33.15,14809529
2024-12-10,33.3,34.2,32.9,33.15,12287445
2024-12-11,32.95,33.05,32.35,32.35,11142219
2024-12-12,32.45,32.55,31.15,31.2,19830437
2024-12-13,30.9,31.05,30.4,30.45,15405752
2024-12-16,30.3,30.85,29.9,29.9,17110926
2024-12-17,30.0,30.35,29.55,29.55,19067234
2024-12-18,29.6,30.8,29.55,30.35,19812907
2024-12-19,30.0,30.4,29.75,30.15,14293009
2024-12-20,29.85,30.0,28.75,28.75,26864898
2024-12-23,28.75,29.5,28.75,29.25,12033325
2024-12-24,29.35,29.95,29.15,29.2,11105799
2024-12-25,29.55,29.6,28.8,28.8,10239693
2024-12-26,28.95,29.3,28.5,28.5,11180029
2024-12-27,28.7,28.7,28.05,28.6,14457379
2024-12-30,28.6,28.6,27.6,27.6,15893547
2024-12-31,27.6,27.7,27.2,27.3,10995204
2025-01-02,27.1,27.4,26.75,27.05,13814184
2025-01-03,27.05,27.7,26.75,26.8,10061144
2025-01-06,27.05,28.4,26.8,28.05,17659388
2025-01-07,28.05,28.1,26.8,26.8,15844718
2025-01-08,26.95,26.95,26.05,26.1,16224478
2025-01-09,25.95,26.05,25.35,25.35,13070585
2025-01-10,25.15,25.8,25.15,25.3,11008004
2025-01-13,25.45,25.85,24.75,25.55,20684709
2025-01-14,25.55,27.6,25.55,27.25,27619839
2025-01-15,27.25,28.7,27.2,28.15,37704263
2025-01-16,28.35,29.25,28.0,28.2,30574344
2025-01-17,28.2,29.4,27.85,29.0,26855558
2025-01-20,29.05,29.05,28.2,28.3,16185612
2025-01-21,28.2,28.65,27.8,27.8,12059037
2025-01-22,28.1,28.15,27.5,28.1,13151919
2025-02-03,27.7,28.55,26.8,27.7,19528711
2025-02-04,27.8,27.8,26.65,26.65,14470434
2025-02-05,26.85,27.4,26.25,26.4,14942823
2025-02-06,26.4,27.0,26.3,26.9,7570620
2025-02-07,26.9,26.9,26.05,26.1,11008192
2025-02-10,26.05,26.5,26.0,26.05,9805701
2025-02-11,26.3,26.75,25.95,26.0,13512854
2025-02-12,26.05,27.35,25.95,26.7,25748381
2025-02-13,26.8,28.4,26.6,28.35,27706053
2025-02-14,28.5,29.2,27.9,28.8,28572133
2025-02-17,29.0,29.5,28.3,29.3,23176561
2025-02-18,29.3,29.35,28.25,28.55,16658175
2025-02-19,28.35,29.35,28.35,29.05,15007920
2025-02-20,29.2,29.65,28.7,29.0,15366813
2025-02-21,29.0,29.4,28.7,29.4,9293033
2025-02-24,29.25,29.85,29.05,29.75,14305164
2025-02-25,29.5,30.9,29.35,30.55,29988858
2025-02-26,30.55,30.6,29.8,30.05,18659085
2025-02-27,30.05,30.3,29.3,29.7,23572949
2026-05-04,52.0,52.0,50.7,50.8,21143460
2026-05-05,51.0,52.4,50.8,51.8,21769575
2026-05-06,52.3,52.9,50.8,51.0,21291741
2026-05-07,51.0,51.1,49.4,49.45,28788176
2026-05-08,50.0,50.1,46.6,46.95,42319894
2026-05-11,46.3,48.75,46.3,47.8,23048519
2026-05-12,48.1,48.2,46.7,47.05,13453186
2026-05-13,47.0,47.4,46.1,46.1,13784781
2026-05-14,46.05,46.1,44.8,44.95,19735831
2026-05-15,45.35,45.35,44.3,44.45,11530955
2026-05-18,44.45,45.3,43.65,45.25,19494877
2026-05-19,45.2,45.95,44.9,44.9,15639593
2026-05-20,45.0,45.25,44.25,44.55,12830593
2026-05-21,44.8,45.7,44.8,45.45,10223386
2026-05-22,45.5,45.75,45.15,45.55,11219996
2026-05-25,45.55,45.55,44.25,44.95,17590321
2026-05-26,44.75,45.75,44.2,44.5,15263951
2026-05-27,45.0,45.85,44.75,45.45,20351059
2026-05-28,46.8,46.85,45.05,45.4,29690137
2026-05-29,45.95,49.9,45.8,49.9,67387982
2026-06-01,51.4,54.5,50.0,53.8,74407426
2026-06-02,54.0,56.9,52.8,54.4,93193844
2026-06-03,56.5,57.8,53.8,56.5,68914458
2026-06-04,57.0,59.0,55.2,55.2,59996221
2026-06-05,54.9,55.0,51.6,52.8,32740041
2026-06-08,49.65,50.7,48.0,48.75,29772803
2026-06-09,48.6,49.35,48.1,48.25,24440661
2026-06-10,47.7,48.35,46.15,46.2,24802521
2026-06-11,46.3,47.3,45.25,46.25,16325166
2026-06-12,47.25,49.1,47.2,48.8,21758319
2026-06-15,50.0,51.9,49.5,51.6,28349053
2026-06-16,52.8,55.0,51.8,52.1,41063981
2026-06-17,52.1,55.2,51.1,53.7,33486429
2026-06-18,54.6,55.2,53.7,54.2,31267057
2026-06-22,55.0,57.2,54.1,56.2,33297275
2026-06-23,58.5,59.2,53.0,53.1,52379280
2026-06-24,52.5,57.7,51.3,57.7,67367428
2026-06-25,58.7,62.3,58.2,59.5,83820012
2026-06-26,58.3,58.3,53.8,54.2,46433274
2026-06-29,54.4,55.5,53.1,54.9,17116244
2026-06-30,55.6,56.7,54.0,54.6,22447454
2026-07-01,56.1,57.9,55.4,56.3,34830146
2026-07-02,55.5,61.9,55.1,61.9,64670626
2026-07-03,63.0,68.0,62.9,68.0,97646905
2026-07-06,72.8,73.0,67.2,67.6,129752660
2026-07-07,66.8,66.8,63.3,63.3,52450563
2026-07-08,63.8,66.4,63.4,64.7,74071252
2026-07-09,64.7,64.7,59.4,60.0,59118264
2026-07-13,60.0,66.0,60.0,65.0,96160170
2026-07-14,65.3,67.2,63.8,67.0,94558841
2026-07-15,68.1,72.4,67.1,70.8,123945119
2026-07-16,71.0,73.0,68.4,68.9,110654348
2026-07-17,67.5,70.5,65.4,66.1,81696148
2026-07-20,67.2,67.4,63.7,64.2,52416077
2026-07-21,65.0,70.4,64.8,68.6,74799490
2026-07-22,68.8,73.5,68.3,70.6,94039267
2026-07-23,71.7,77.6,70.8,71.7,160401362
2026-07-24,72.0,72.6,66.8,67.5,80139162
2026-07-27,65.9,67.4,62.6,65.0,50802490
2026-07-28,61.8,62.8,60.7,60.9,39784141
2026-07-29,61.4,62.0,56.6,58.5,50657550
2026-07-30,59.5,59.8,55.8,56.4,44369647
2026-07-31,60.0,61.3,56.7,57.4,47178584
2026-08-03,56.6,57.3,55.6,56.3,28925031
2026-08-04,55.5,59.3,55.5,58.2,28720049
2026-08-05,59.4,61.0,58.4,58.6,25180356
2026-08-06,58.2,59.1,57.7,58.1,13521600
2026-08-07,59.3,60.5,58.1,58.9,25672952
2026-08-10,59.7,59.7,57.6,58.8,18904137
2026-08-11,58.6,58.9,56.8,58.2,19953382
2026-08-12,58.7,60.0,58.7,59.6,20142286
2026-08-13,60.3,61.1,59.0,59.5,21357549
2026-08-14,60.1,61.5,59.0,60.5,26655899
2026-08-17,60.4,61.7,59.1,59.3,19032496
2026-08-18,59.0,61.4,59.0,59.4,25250779
2026-08-19,59.1,59.3,56.6,56.7,26991898
2026-08-20,57.3,60.1,57.3,58.4,23649150
2026-08-21,59.0,60.3,58.2,60.1,19453470
