date,open,high,low,close,volume
2026-04-01,266.5,272.5,260.5,266.0,103346718
2026-04-02,270.0,285.0,260.0,260.0,119229438
2026-04-07,268.5,281.5,261.5,275.0,110531184
2026-04-08,290.0,294.0,272.0,274.0,118089367
2026-04-09,274.0,291.0,270.0,281.5,98834887
2026-04-10,287.5,294.0,278.0,286.0,87024000
2026-04-13,288.5,290.5,279.0,279.0,66575983
2026-04-14,284.0,287.0,255.5,257.5,104284402
2026-04-15,259.0,268.0,257.0,263.0,61632617
2026-04-16,265.5,266.5,256.0,260.0,50105057
2026-04-17,262.0,268.0,257.0,261.5,46014475
2026-04-20,261.5,265.0,250.5,250.5,72814580
2026-04-21,252.5,258.5,240.0,254.5,85864078
2026-04-22,253.0,256.0,244.0,247.0,52578619
2026-04-23,242.5,245.0,222.5,222.5,88289847
2026-04-24,218.0,224.0,205.0,214.5,108715535
2026-04-27,219.5,235.5,208.5,235.5,102681758
2026-04-28,236.0,242.0,230.0,239.5,88958371
2026-04-29,238.5,240.0,229.0,230.0,43477664
2026-04-30,231.5,251.5,227.5,244.5,78199478
2026-05-04,254.5,268.5,247.0,268.5,83904966
2026-05-05,272.0,285.0,270.0,274.5,126303200
2026-05-06,274.5,274.5,247.5,250.0,105195489
2026-05-07,248.0,253.0,237.0,249.5,65353833
2026-05-08,245.5,259.5,239.0,253.5,86924245
2026-05-11,248.0,254.5,242.0,242.0,81477797
2026-05-12,246.0,264.5,246.0,260.0,93921908
2026-05-13,253.5,258.5,237.0,237.0,94434103
2026-05-14,242.0,253.0,239.5,245.5,66767474
2026-05-15,251.5,251.5,234.0,235.5,47185712
2026-05-18,234.0,259.0,233.5,259.0,97275864
2026-05-19,263.0,279.0,252.0,256.0,144574597
2026-05-20,263.0,269.0,250.0,255.0,90778697
2026-05-21,263.5,267.5,256.0,258.0,69378109
2026-05-22,261.5,281.0,261.5,278.0,99747807
2026-05-25,296.0,305.5,287.0,298.5,100470188
2026-05-26,299.0,299.0,282.0,284.5,88509083
2026-05-27,289.5,291.0,277.0,282.0,80875520
2026-05-28,285.5,290.0,257.5,259.0,114452978
2026-05-29,271.0,284.5,265.5,284.5,84156366
2026-06-01,288.5,291.5,278.5,282.0,72392478
2026-06-02,284.0,289.0,268.5,270.5,46492198
2026-06-03,275.5,278.0,266.0,266.5,35476485
2026-06-04,266.0,272.0,258.0,265.5,39459603
2026-06-05,267.0,272.0,251.0,259.0,64234821
2026-06-08,233.5,257.5,233.5,252.0,48578725
2026-06-09,258.0,277.0,253.0,276.0,72882082
2026-06-10,270.0,281.5,258.5,259.0,86302606
2026-06-11,265.0,279.5,258.5,275.0,92016311
2026-06-12,291.0,291.5,263.0,263.0,134234586
2026-06-15,269.0,272.0,257.0,257.5,73956256
2026-06-16,263.0,267.5,248.5,249.0,68681558
2026-06-17,250.0,268.0,248.0,264.0,66968289
2026-06-18,266.0,267.5,259.0,259.5,40499868
2026-06-22,262.5,263.5,257.0,259.5,29090333
2026-06-23,260.0,260.5,242.5,243.0,41024282
2026-06-24,239.0,249.0,239.0,240.0,34526381
2026-06-25,244.0,244.0,233.0,233.0,29189204
2026-06-26,231.5,237.0,221.5,222.5,41017317
2026-06-29,222.5,228.0,218.0,221.0,26070297
2026-06-30,229.0,236.0,225.0,232.5,26497727
2026-07-01,237.5,237.5,220.0,220.0,26693869
2026-07-02,216.5,228.5,214.0,228.5,29171042
2026-07-03,225.0,233.5,222.0,229.5,31704560
2026-07-06,233.0,241.5,226.0,235.0,35969578
2026-07-07,236.0,236.0,217.5,218.0,29230631
2026-07-08,220.0,227.0,215.0,224.0,20244994
2026-07-09,232.0,237.0,222.5,223.0,33952098
2026-07-13,228.0,245.0,225.0,235.0,64090809
2026-07-14,233.0,237.5,218.0,225.5,49467476
2026-07-15,236.0,248.0,234.0,248.0,60898588
2026-07-16,245.0,248.0,235.0,235.5,56275058
2026-07-17,219.5,222.0,212.0,212.0,34563669
2026-07-20,205.0,205.5,191.0,199.0,42275231
2026-07-21,202.5,212.0,200.0,210.0,20756015
2026-07-22,215.5,219.5,208.0,208.0,39346319
2026-07-23,210.5,218.5,208.5,214.0,40008211
2026-07-24,210.0,210.5,201.5,201.5,19923538
2026-07-27,202.5,205.0,194.0,199.5,30822941
2026-07-28,190.0,193.0,181.5,182.0,32848024
2026-07-29,182.5,183.0,164.0,171.0,47322132
2026-07-30,165.5,169.5,154.0,154.0,40573893
2026-07-31,168.5,169.0,166.5,169.0,14742543
2026-08-03,170.0,185.5,169.5,185.5,22355372
