date,open,high,low,close,volume
2024-09-02,51.9,51.9,50.5,50.5,11388505
2024-09-03,50.5,50.6,49.8,49.8,15070848
2024-09-04,48.35,48.35,47.0,47.0,28988163
2024-09-05,47.25,47.6,46.2,46.2,17306433
2024-09-06,46.2,46.75,45.6,46.25,15371743
2024-09-09,45.1,45.2,44.65,45.0,17705101
2024-09-10,45.0,45.1,44.15,44.2,16754907
2024-09-11,44.2,45.0,44.15,44.4,11673535
2024-09-12,45.3,45.4,44.4,45.0,13169592
2024-09-13,45.05,47.4,44.9,46.95,19946038
2024-09-16,47.2,49.25,46.5,48.25,26355478
2024-09-18,48.3,49.7,47.9,48.25,19714807
2024-09-19,48.2,48.75,47.35,48.55,16107129
2024-09-20,48.7,49.5,48.4,48.75,15561903
2024-09-23,49.1,49.45,48.5,48.75,8762398
2024-09-24,48.7,48.7,47.9,48.5,10535923
2024-09-25,49.25,50.6,49.0,50.6,24526651
2024-09-26,51.0,51.1,50.0,50.1,10267367
2024-09-27,50.4,53.7,50.2,53.5,32996604
2024-09-30,53.2,54.7,52.2,53.5,37097057
2024-10-01,53.5,53.7,52.7,53.0,13555032
2024-10-04,53.0,55.1,52.8,53.0,21297812
2024-10-07,53.1,53.4,51.3,52.2,16687690
2024-10-08,51.7,52.1,50.6,50.8,13142435
2024-10-09,51.1,51.2,49.4,49.55,12625882
2024-10-11,49.95,50.4,49.45,49.6,7806934
2024-10-14,49.6,50.4,48.45,50.0,13123082
2024-10-15,50.2,50.2,48.35,48.35,17349516
2024-10-16,48.0,48.45,47.6,47.95,19923301
2024-10-17,48.0,49.2,47.95,48.4,9292283
2024-10-18,48.75,49.05,48.1,48.2,8557399
2024-10-21,48.6,48.65,47.3,47.3,11461231
2024-10-22,47.5,47.5,46.4,46.7,13792672
2024-10-23,46.75,47.15,46.2,46.2,9733208
2024-10-24,46.3,46.85,45.8,46.2,11850743
2024-10-25,46.3,47.0,46.3,46.85,7725543
2024-10-28,47.0,48.9,46.7,48.55,17301379
2024-10-29,48.45,48.65,47.15,47.7,11947340
2024-10-30,47.9,47.95,47.25,47.3,8634436
2024-11-01,46.75,47.25,46.15,47.1,13165842
2024-11-04,47.1,47.3,46.55,46.8,5934065
2024-11-05,46.65,47.3,46.45,47.2,7933857
2024-11-06,46.95,47.75,46.8,47.2,8745867
2024-11-07,47.6,49.45,47.55,48.75,19400363
2024-11-08,48.9,49.25,47.6,47.7,12734310
2024-11-11,46.7,47.2,45.85,46.5,13471243
2024-11-12,45.9,46.15,45.0,45.0,17577907
2024-11-13,44.85,45.2,44.4,44.8,13934774
2024-11-14,44.6,44.7,43.2,43.3,21313789
2024-11-15,43.35,45.35,43.35,44.35,15473493
2024-11-18,45.5,47.2,45.3,47.0,33327839
2024-11-19,47.3,47.35,45.4,45.75,20412897
2024-11-20,45.6,45.6,45.1,45.3,9813177
2024-11-21,45.0,45.0,44.05,44.1,15609686
2024-11-22,44.4,44.55,43.8,43.95,13208167
2024-11-25,44.3,44.35,43.8,43.95,20174263
2024-11-26,44.05,45.05,43.55,43.85,12021544
2024-11-27,44.05,44.05,43.3,43.3,11639519
2024-11-28,43.6,43.7,42.4,42.7,13059640
2024-11-29,42.5,42.5,41.25,41.35,31060654
2024-12-02,41.45,42.1,40.8,41.2,23207861
2024-12-03,41.5,42.0,41.25,41.8,14288946
2024-12-04,42.15,42.25,41.05,41.4,14302589
2024-12-05,41.4,41.5,40.5,40.5,13249538
2024-12-06,40.4,40.7,40.0,40.15,17814253
2024-12-09,40.8,41.3,39.8,40.2,22220951
