date,open,high,low,close,volume
2026-04-01,34.8,35.0,34.6,35.0,14680989
2026-04-02,35.3,35.4,34.85,34.95,13482779
2026-04-07,35.15,35.15,34.5,34.5,8248986
2026-04-08,35.0,35.2,34.85,35.2,13727363
2026-04-09,35.0,35.15,34.35,34.8,16223139
2026-04-10,34.8,34.9,34.6,34.85,15163791
2026-04-13,35.0,35.15,34.55,35.1,19458755
2026-04-14,35.2,35.25,35.0,35.15,17319330
2026-04-15,35.2,35.35,34.75,34.75,27981242
2026-04-16,35.0,35.25,34.9,35.25,16056028
2026-04-17,35.5,35.5,35.1,35.3,19391314
2026-04-20,35.35,35.5,35.0,35.25,26385019
2026-04-21,35.5,35.5,35.2,35.35,19539739
2026-04-22,35.35,35.4,34.8,35.05,29019733
2026-04-23,34.85,34.9,33.6,33.75,64643619
2026-04-24,33.8,34.0,33.55,33.75,24089961
2026-04-27,33.55,33.65,33.2,33.35,29109388
2026-04-28,33.4,33.6,33.25,33.35,21657036
2026-04-29,33.6,34.05,33.5,34.0,21860085
2026-04-30,33.95,34.2,33.5,33.5,26150659
2026-05-04,33.55,33.9,33.5,33.8,16096854
2026-05-05,33.75,34.3,33.4,34.0,22178408
2026-05-06,34.2,34.25,33.7,33.95,34613053
2026-05-07,34.2,35.5,34.2,35.4,44124546
2026-05-08,35.4,35.7,35.2,35.65,34415959
2026-05-11,35.9,36.0,35.7,35.85,23645405
2026-05-12,35.75,35.9,35.05,35.1,35572657
2026-05-13,35.0,35.0,34.35,34.45,21572695
2026-05-14,35.5,36.2,34.95,35.0,37043843
2026-05-15,35.2,35.4,34.65,34.65,23270613
2026-05-18,34.5,34.75,34.1,34.1,26384216
2026-05-19,34.1,34.85,34.1,34.45,21604663
2026-05-20,34.75,34.75,34.3,34.3,28780544
2026-05-21,34.8,35.45,34.7,35.3,45014236
2026-05-22,35.5,35.65,35.1,35.5,45237975
2026-05-25,36.0,36.1,35.45,35.45,66136647
2026-05-26,35.8,36.05,35.2,35.2,66828833
2026-05-27,35.2,35.45,34.8,34.8,67319957
2026-05-28,35.5,36.25,35.3,35.3,86240054
2026-05-29,35.95,36.7,35.65,36.05,122963731
2026-06-01,36.45,37.85,36.3,37.7,82974354
2026-06-02,37.4,37.8,36.65,37.25,84389805
2026-06-03,37.8,38.45,37.3,37.7,81050445
2026-06-04,37.55,38.4,37.3,37.9,59159507
2026-06-05,37.95,38.1,37.35,37.7,39384323
2026-06-08,36.25,36.6,35.85,36.4,52725893
2026-06-09,36.35,37.35,36.35,37.0,37212814
2026-06-10,37.0,37.75,36.9,37.25,42301554
2026-06-11,37.0,37.8,36.75,37.7,41921727
2026-06-12,38.1,39.4,38.05,38.7,75680658
2026-06-15,40.0,40.45,39.4,39.95,78426978
2026-06-16,40.2,40.5,39.3,39.75,43247293
2026-06-17,40.35,43.3,40.05,42.55,192198094
2026-06-18,43.3,43.7,42.25,42.55,65533169
2026-06-22,41.9,42.0,40.7,41.65,54152128
2026-06-23,41.95,43.1,41.5,42.95,87433547
2026-06-24,42.95,44.8,42.55,44.0,89685104
2026-06-25,44.6,45.65,44.15,44.5,69764175
2026-06-26,44.45,44.85,43.55,43.8,46293189
2026-06-29,44.65,45.0,43.65,43.9,44004546
2026-06-30,44.1,44.9,43.8,44.9,62801992
2026-07-01,45.0,45.0,43.3,43.9,59195169
2026-07-02,44.0,44.1,43.15,43.9,30162234
2026-07-03,44.0,44.3,43.4,43.85,39036854
2026-07-06,44.0,44.05,43.45,43.55,40991137
2026-07-07,43.5,43.5,42.0,42.4,66378937
2026-07-08,40.0,41.95,39.2,39.85,110711525
2026-07-09,40.0,40.0,38.75,39.6,72160188
2026-07-13,40.0,41.25,39.8,40.75,92302029
2026-07-14,40.5,41.05,39.9,40.8,81425312
2026-07-15,41.3,42.2,40.65,42.15,52198329
2026-07-16,42.15,42.65,41.65,41.9,26966949
2026-07-17,41.7,42.1,41.15,41.2,37789355
2026-07-20,41.65,41.9,40.75,41.2,37206444
2026-07-21,41.9,42.5,41.8,42.3,34760562
2026-07-22,42.6,43.65,41.95,42.1,39206315
2026-07-23,42.3,42.3,40.35,40.85,38294705
2026-07-24,40.35,40.75,40.1,40.7,31313433
2026-07-27,41.5,42.15,41.3,41.95,48697688
2026-07-28,41.65,42.95,41.5,42.75,72120873
2026-07-29,43.0,43.4,40.75,41.45,47478156
2026-07-30,41.6,41.85,41.05,41.75,52861405
2026-07-31,42.5,43.85,42.3,43.3,70267465
2026-08-03,43.3,43.8,42.9,43.7,40295415
2026-08-04,42.85,44.15,42.0,43.8,49619542
2026-08-05,44.0,44.55,43.55,43.8,45129966
2026-08-06,43.7,43.95,43.1,43.25,20003759
