date,open,high,low,close,volume
2026-04-01,55.8,57.1,54.9,55.7,19943461
2026-04-02,55.8,55.8,54.6,54.7,9622606
2026-04-07,55.8,57.8,55.1,56.8,19726567
2026-04-08,55.6,55.6,53.7,54.3,20932861
2026-04-09,53.5,54.3,52.6,52.7,17508856
2026-04-10,53.4,53.4,51.5,52.0,10999996
2026-04-13,53.4,55.2,52.6,55.1,23156434
2026-04-14,53.8,56.5,53.4,56.2,24941138
2026-04-15,56.2,56.2,53.9,54.4,13718659
2026-04-16,54.8,55.8,54.1,55.1,9644017
2026-04-17,55.8,56.5,54.1,54.9,9742359
2026-04-20,55.8,56.0,53.4,54.0,9988370
2026-04-21,54.8,54.8,53.0,53.0,10039062
2026-04-22,53.1,53.6,52.4,52.7,6057518
2026-04-23,52.7,53.0,51.0,51.7,12823948
2026-04-24,51.7,52.2,50.6,51.6,8322447
2026-04-27,51.1,52.0,50.7,51.8,6322841
2026-04-28,53.5,53.5,52.1,52.9,8845012
2026-04-29,53.6,54.0,53.1,54.0,9027204
2026-04-30,55.0,56.7,53.6,56.4,21140235
2026-05-04,55.5,55.5,53.8,54.0,11677895
2026-05-05,54.7,55.7,54.2,55.4,8399719
2026-05-06,55.6,55.9,54.4,54.8,7279604
2026-05-07,54.0,54.1,51.9,52.3,16435247
2026-05-08,53.2,53.7,52.3,53.0,9478746
2026-05-11,53.5,54.4,53.3,54.0,9349965
2026-05-12,54.3,54.3,52.7,53.1,7758116
2026-05-13,53.6,53.6,52.5,52.9,5017990
2026-05-14,52.3,53.3,52.3,52.4,5235167
2026-05-15,52.5,52.8,51.3,51.3,6552416
2026-05-18,51.1,51.9,50.8,51.2,6761865
2026-05-19,51.6,52.2,50.9,51.3,5550604
2026-05-20,51.6,51.8,50.3,51.2,6816291
2026-05-21,51.4,51.7,50.9,51.3,4249170
2026-05-22,51.1,51.3,50.6,51.0,5352015
2026-05-25,51.3,51.3,49.3,49.5,13646379
2026-05-26,49.5,50.2,49.1,49.3,7903750
2026-05-27,49.8,50.3,49.6,50.1,8193135
2026-05-28,50.5,50.5,49.15,49.9,9178702
2026-05-29,49.95,51.5,49.95,51.4,9994125
2026-06-01,51.6,53.8,50.7,53.3,11498399
2026-06-02,53.4,54.7,52.9,54.5,12690822
2026-06-03,54.8,56.5,53.9,55.9,16107498
2026-06-04,56.5,58.1,55.7,57.5,16387352
2026-06-05,57.5,57.7,55.0,55.3,10995075
2026-06-08,52.8,53.5,51.9,52.6,8476427
2026-06-09,52.1,52.8,51.7,52.4,9226963
2026-06-10,52.0,52.2,50.7,51.0,9674170
2026-06-11,51.5,51.9,50.3,51.4,7607052
2026-06-12,51.5,53.0,51.4,52.8,5713177
2026-06-15,53.5,53.6,52.5,53.3,6606199
2026-06-16,53.7,54.3,52.6,52.7,6752182
2026-06-17,52.0,53.0,51.6,52.6,6691768
2026-06-18,52.6,55.3,52.5,53.5,13997185
2026-06-22,54.5,54.7,53.3,54.0,7920372
2026-06-23,53.5,53.5,52.0,52.1,7033326
2026-06-24,52.1,55.3,51.0,55.2,15007444
2026-06-25,55.0,56.7,54.6,55.9,19666498
2026-06-26,55.2,55.5,53.0,53.5,12063038
2026-06-29,54.4,55.3,53.4,55.3,7702486
2026-06-30,55.7,56.3,54.3,55.1,7087427
2026-07-01,55.5,55.6,53.3,53.6,8054573
2026-07-02,53.9,57.6,53.4,57.6,24282487
2026-07-03,57.9,60.7,57.1,58.9,42156306
2026-07-06,59.5,61.4,58.2,59.5,18653542
2026-07-07,59.6,59.8,57.7,58.0,11456997
