date,open,high,low,close,volume
2026-08-03,32.28,32.76,32.11,32.57,68546714
2026-08-04,32.52,32.88,32.32,32.57,57183322
2026-08-05,33.37,33.45,33.09,33.15,43855594
2026-08-06,33.12,33.15,32.81,32.84,69396792
2026-08-07,32.92,33.05,32.65,32.81,48698785
2026-08-10,33.04,33.4,32.88,33.4,37275797
2026-08-11,33.33,33.49,33.22,33.47,36620755
2026-08-12,33.58,33.79,33.41,33.52,45388985
2026-08-13,33.9,33.95,33.69,33.78,46956822
2026-08-14,34.09,34.19,33.8,33.87,80272161
2026-08-17,33.88,33.9,33.55,33.75,168685898
2026-08-18,32.76,32.76,32.3,32.38,87657286
2026-08-19,32.03,32.38,31.92,32.3,39841825
2026-08-20,32.45,32.45,31.93,32.15,40834367
2026-08-21,32.11,32.39,31.99,32.38,17103330
