date,open,high,low,close,volume
2026-04-01,144.5,145.5,143.0,144.5,1349343
2026-04-02,146.0,147.0,139.0,139.0,1933823
2026-04-07,141.0,142.0,139.0,140.0,1224085
2026-04-08,143.0,151.0,143.0,150.5,2356580
2026-04-09,150.0,153.0,147.5,152.0,2230303
2026-04-10,153.0,153.5,149.5,149.5,1739781
2026-04-13,150.0,150.5,148.5,149.0,1406564
2026-04-14,151.0,153.0,150.0,153.0,2248075
2026-04-15,154.5,155.0,149.0,149.5,3546168
2026-04-16,152.0,159.0,150.5,156.5,5770673
2026-04-17,157.0,162.0,155.5,159.0,5268698
2026-04-20,162.0,174.5,161.5,174.5,14758953
2026-04-21,177.0,182.0,173.5,180.0,22510542
2026-04-22,179.0,186.0,177.0,179.0,18286028
2026-04-23,182.0,183.0,165.0,168.5,19913699
2026-04-24,180.0,185.0,177.0,185.0,34838693
2026-04-27,195.0,198.5,182.5,186.5,52051494
2026-04-28,183.0,187.5,176.0,176.5,21136078
2026-04-29,175.0,178.5,168.5,168.5,13625991
2026-04-30,170.0,172.5,167.0,168.0,9878768
2026-05-04,171.5,172.5,168.5,169.0,6162119
2026-05-05,169.5,181.5,169.0,177.0,13265624
2026-05-06,180.0,186.0,175.0,181.5,18503277
2026-05-07,184.5,187.5,179.5,181.0,13576828
2026-05-08,178.5,185.0,173.0,178.0,10769382
2026-05-11,182.0,195.5,182.0,195.5,25421544
2026-05-12,200.5,210.5,187.0,208.5,40874239
2026-05-13,201.5,204.0,192.0,194.0,21341274
2026-05-14,197.0,200.0,188.5,198.5,19023300
2026-05-15,200.0,202.0,188.5,190.0,17316908
2026-05-18,184.5,193.5,177.0,193.0,10899387
2026-05-19,190.0,197.0,186.0,188.5,10331541
2026-05-20,189.5,194.0,184.0,189.5,7924700
2026-05-21,195.5,208.0,195.0,208.0,25033779
2026-05-22,210.0,216.5,205.0,211.0,28366148
2026-05-25,218.0,231.0,209.0,218.5,30348381
2026-05-26,219.5,219.5,207.0,208.0,20600438
2026-05-27,213.5,216.0,201.0,202.5,16772502
2026-05-28,203.0,210.5,201.5,208.5,16061701
2026-05-29,213.5,215.5,206.0,207.0,13700926
2026-06-01,209.5,214.0,205.0,211.0,11475001
2026-06-02,212.0,217.0,201.0,209.5,14574649
2026-06-03,211.5,212.0,203.0,203.0,9487831
2026-06-04,200.5,201.0,191.5,191.5,12281381
2026-06-05,190.5,195.5,183.0,192.0,8741854
2026-06-08,173.0,177.5,173.0,176.0,7469794
2026-06-09,179.0,187.0,175.0,186.0,6348624
2026-06-10,182.0,185.5,174.0,174.5,5691680
2026-06-11,174.5,179.0,172.5,178.0,5096409
2026-06-12,185.0,191.0,184.0,184.0,4770456
2026-06-15,190.5,202.0,190.0,202.0,13753200
2026-06-16,202.0,206.0,198.5,201.0,10273849
2026-06-17,198.5,204.5,197.0,202.0,6145388
2026-06-18,203.0,209.5,201.5,209.0,9212415
2026-06-22,221.0,229.5,220.0,229.5,16276996
2026-06-23,232.5,245.0,232.0,233.0,31052125
2026-06-24,229.5,233.0,221.0,230.5,15426860
2026-06-25,237.0,245.0,224.0,229.0,16967764
2026-06-26,225.5,225.5,206.5,206.5,14764389
2026-06-29,204.5,213.0,200.0,210.5,7268934
2026-06-30,216.5,216.5,210.5,211.0,7115558
2026-07-01,214.5,221.0,211.0,212.0,8177549
2026-07-02,208.0,225.0,205.5,224.0,7772559
2026-07-03,220.0,225.0,217.5,222.5,6612662
2026-07-06,223.5,224.0,209.0,211.0,8262400
2026-07-07,212.5,214.5,197.5,199.0,6520270
2026-07-08,211.0,218.5,210.0,216.0,11637498
2026-07-09,218.5,220.0,214.0,216.0,7366243
2026-07-13,219.0,220.5,211.0,213.0,5197217
2026-07-14,212.0,214.0,194.0,207.0,7975462
2026-07-15,210.5,210.5,203.5,207.0,4955010
2026-07-16,206.0,209.0,199.0,203.5,3542639
2026-07-17,195.0,198.0,183.5,184.0,7282714
2026-07-20,185.0,186.5,172.0,182.5,5623259
2026-07-21,185.5,195.0,184.0,194.5,3522625
2026-07-22,199.0,203.0,196.5,199.0,4881431
2026-07-23,203.5,204.5,190.5,193.0,3973627
2026-07-24,190.0,199.0,189.0,197.5,4571009
2026-07-27,195.5,200.5,192.0,200.5,5095888
2026-07-28,193.0,194.0,184.0,185.5,5741244
2026-07-29,172.0,173.0,167.0,167.0,4556173
2026-07-30,160.0,165.0,150.5,150.5,11081627
2026-07-31,160.0,162.5,148.5,149.5,19321262
2026-08-03,148.0,163.0,146.5,160.0,9453812
2026-08-04,160.0,171.0,157.0,166.0,6345057
2026-08-05,172.0,176.5,170.0,171.5,5535203
2026-08-06,170.5,172.5,165.5,171.0,3330753
2026-08-07,172.0,175.0,170.0,172.0,3306574
2026-08-10,173.0,180.5,171.0,178.0,6269806
2026-08-11,176.5,179.5,174.0,176.0,3115315
2026-08-12,176.5,180.0,176.5,179.0,2383829
2026-08-13,182.0,184.5,176.5,177.0,4084816
2026-08-14,178.0,178.5,173.0,173.5,2487803
2026-08-17,173.5,180.0,172.0,177.0,2489821
2026-08-18,177.0,177.5,169.0,170.5,2542365
2026-08-19,166.0,175.0,166.0,172.5,3152300
2026-08-20,175.0,177.5,168.0,172.0,2293241
2026-08-21,172.0,172.5,168.5,169.5,1374915
2026-08-24,170.5,176.0,168.0,170.0,1652604
2026-08-25,170.0,172.0,166.5,172.0,1130046
2026-08-26,172.5,183.0,171.5,180.5,3542363
2026-08-27,181.5,182.5,176.5,176.5,1944866
2026-08-28,179.0,184.0,178.0,180.5,2656751
2026-08-31,177.0,178.0,172.5,175.0,2225256
2026-09-01,177.5,187.5,177.5,183.5,6122226
2026-09-02,183.5,186.0,182.0,184.5,2909867
2026-09-03,186.5,187.5,179.0,180.0,2519016
