date,open,high,low,close,volume
2024-09-02,45.9,45.95,45.45,45.45,9557958
2024-09-03,45.35,45.4,44.6,44.6,16107503
2024-09-04,42.6,42.9,41.25,42.25,28457809
2024-09-05,42.75,43.2,41.8,41.8,15384884
2024-09-06,42.35,43.35,41.8,43.3,17856382
2024-09-09,41.65,42.6,41.65,42.25,21578598
2024-09-10,42.8,42.8,41.25,41.45,18435617
2024-09-11,41.65,41.9,41.35,41.35,9226188
2024-09-12,42.8,43.25,42.55,42.85,16865456
2024-09-13,42.85,43.15,42.6,43.05,8357247
2024-09-16,43.35,43.6,43.1,43.55,7331164
2024-09-18,43.6,43.7,42.5,42.5,12927030
2024-09-19,42.8,43.85,42.5,43.85,12983173
2024-09-20,44.1,44.25,43.2,43.2,19316136
2024-09-23,43.7,43.85,43.4,43.7,9313654
2024-09-24,43.65,43.65,42.8,43.3,15606613
2024-09-25,43.95,44.35,43.8,43.85,20243730
2024-09-26,44.3,44.5,43.4,43.65,17773069
2024-09-27,44.1,44.8,44.05,44.35,16362576
2024-09-30,44.0,44.65,43.1,43.1,20953594
2024-10-01,43.5,44.8,43.5,44.4,15410700
2024-10-04,44.35,44.7,43.6,43.8,18198908
2024-10-07,43.75,43.75,42.7,43.2,26480857
2024-10-08,42.75,42.85,42.2,42.2,22591310
2024-10-09,43.0,45.4,42.95,44.2,61386883
2024-10-11,44.5,45.1,44.3,44.4,27741361
2024-10-14,44.5,44.75,44.05,44.2,12321814
2024-10-15,44.55,45.6,44.4,44.9,24194782
2024-10-16,44.25,45.05,43.9,44.8,15843775
2024-10-17,45.0,45.5,44.85,45.5,15840404
2024-10-18,46.2,46.6,45.15,45.5,30372167
2024-10-21,46.0,46.0,45.3,45.6,13910288
2024-10-22,45.7,46.35,45.55,46.0,18394022
2024-10-23,46.05,46.1,45.4,45.85,12511381
2024-10-24,45.55,45.95,45.2,45.2,13754170
2024-10-25,45.6,46.35,45.3,46.3,18431533
2024-10-28,46.5,46.6,45.1,45.4,18917230
2024-10-29,45.1,45.7,44.75,45.65,13787812
2024-10-30,45.95,46.2,45.3,45.4,13395152
2024-11-01,44.5,45.8,44.2,45.7,16181773
2024-11-04,45.7,46.05,45.25,45.95,15235934
2024-11-05,45.6,50.3,45.6,50.2,111898913
2024-11-06,52.0,53.8,51.4,52.1,165264884
2024-11-07,52.0,53.4,51.6,52.5,79167552
2024-11-08,53.3,54.1,51.8,52.4,76417976
2024-11-11,53.2,54.8,52.7,54.1,109993785
2024-11-12,51.6,52.3,50.5,50.6,107418471
2024-11-13,50.3,51.5,50.2,51.0,37484630
2024-11-14,50.8,51.1,49.5,50.0,32359882
2024-11-15,50.6,50.6,49.25,49.25,24059314
2024-11-18,49.3,51.1,48.9,48.9,44638124
2024-11-19,49.0,50.2,49.0,49.2,25299012
2024-11-20,50.0,50.7,49.0,49.0,48477593
2024-11-21,49.0,52.0,48.7,51.0,62954126
2024-11-22,51.9,52.2,50.7,50.7,47105436
2024-11-25,50.9,51.3,50.2,50.2,31323748
2024-11-26,49.85,51.4,49.6,50.8,29154079
2024-11-27,50.7,51.2,48.85,48.85,31936770
2024-11-28,49.0,49.3,48.0,48.2,24525459
2024-11-29,47.85,49.4,47.8,49.0,17102482
2026-08-03,60.7,64.6,59.6,63.9,33847058
2026-08-04,63.5,66.8,62.9,66.0,34604438
2026-08-05,67.0,67.5,65.2,65.7,45447893
2026-08-06,65.2,66.2,64.4,65.5,18026228
2026-08-07,65.5,65.6,63.6,64.0,14275463
2026-08-10,64.5,66.0,64.4,66.0,18619643
2026-08-11,65.9,66.0,64.2,65.1,14648753
2026-08-12,66.0,71.1,65.9,69.0,79797257
2026-08-13,69.5,72.6,68.2,68.8,72503717
2026-08-14,71.0,73.5,69.4,69.9,59267538
2026-08-17,68.9,69.0,66.0,66.7,36590747
2026-08-18,66.5,66.8,64.3,64.9,19434188
2026-08-19,63.6,65.3,63.3,65.2,15165045
2026-08-20,65.5,66.0,63.9,64.5,12747983
2026-08-21,64.5,65.9,64.0,65.7,12579251
