date,open,high,low,close,volume
2026-04-01,97.1,97.2,91.3,93.1,205567931
2026-04-02,96.0,97.6,91.8,91.8,183485734
2026-04-07,95.0,95.8,89.1,89.4,169816458
2026-04-08,93.1,95.8,92.2,95.6,171450402
2026-04-09,96.0,96.2,90.3,91.0,135311587
2026-04-10,93.0,97.5,92.3,93.5,166460245
2026-04-13,93.8,95.2,91.5,94.4,95826273
2026-04-14,96.8,98.0,93.5,93.5,167859423
2026-04-15,95.6,96.6,90.1,90.2,128417146
2026-04-16,90.6,90.9,88.3,89.6,112136484
2026-04-17,90.0,90.7,86.8,87.8,121007219
2026-04-20,87.5,88.4,83.8,85.7,164660840
2026-04-21,88.1,92.8,88.0,91.1,185988550
2026-04-22,91.5,91.5,88.9,90.6,94692275
2026-04-23,93.0,93.4,84.3,87.8,171220047
2026-04-24,88.6,88.9,84.0,88.2,122540288
2026-04-27,89.8,95.6,89.1,93.9,270349710
2026-04-28,95.3,96.9,93.5,95.5,219580752
2026-04-29,94.5,96.0,92.1,92.7,129993397
2026-04-30,94.2,94.6,88.8,89.8,116065273
2026-05-04,91.9,98.4,91.1,95.4,198798052
2026-05-05,96.8,100.5,96.6,98.8,196655974
2026-05-06,108.5,108.5,104.0,108.5,241792428
2026-05-07,113.0,117.0,106.5,114.0,338649833
2026-05-08,111.0,115.0,103.5,107.0,174129448
2026-05-11,115.0,117.5,113.0,117.5,162759860
2026-05-12,118.5,123.5,116.0,121.5,317628648
2026-05-13,117.0,122.0,115.0,122.0,133243035
2026-05-14,127.0,134.0,124.5,134.0,419382102
2026-05-15,132.5,136.5,127.5,129.5,348302189
2026-05-18,126.0,134.0,119.0,130.5,192808793
2026-05-19,125.0,127.0,117.5,117.5,184930796
2026-05-20,117.5,119.0,112.0,115.5,150894253
2026-05-21,120.0,122.5,113.5,114.0,209614242
2026-05-22,116.5,125.0,115.5,125.0,193146658
2026-05-25,120.5,133.0,119.0,128.5,357612926
2026-05-26,133.5,141.0,133.0,141.0,336105421
2026-05-27,155.0,155.0,146.0,155.0,439027902
2026-05-28,151.0,156.5,142.0,144.0,362557912
2026-05-29,155.0,158.0,151.0,158.0,249880280
2026-06-01,168.0,173.5,166.0,168.0,295190831
2026-06-02,174.0,184.5,171.5,184.5,270430116
2026-06-03,188.0,193.0,177.0,177.5,332157125
2026-06-04,175.0,188.0,175.0,179.5,227016133
2026-06-05,169.0,172.5,162.0,162.0,228440187
2026-06-08,146.0,157.0,146.0,154.0,179964848
2026-06-09,160.5,161.0,153.5,156.5,203232684
2026-06-10,152.0,163.5,148.0,149.0,185310442
2026-06-11,154.0,162.5,149.0,156.5,237289830
2026-06-12,169.5,172.0,166.0,172.0,213495727
2026-06-15,179.5,189.0,175.0,189.0,229481900
2026-06-16,198.5,201.0,191.5,197.0,355003301
2026-06-17,195.0,199.0,186.5,199.0,226916174
2026-06-18,203.5,218.5,201.5,218.5,338003801
2026-06-22,229.5,233.5,219.0,222.0,403194761
2026-06-23,219.0,222.0,205.5,211.5,263314980
2026-06-24,208.5,217.0,201.0,205.0,253065352
2026-06-25,219.5,222.5,211.0,219.5,227328719
2026-06-26,220.0,225.0,203.0,206.5,254263166
2026-06-29,209.0,212.5,201.0,203.0,149900066
2026-06-30,209.0,210.5,197.5,207.5,217328346
2026-07-01,207.0,207.5,188.0,190.0,234325131
2026-07-02,176.0,186.0,176.0,183.5,164178951
2026-07-03,180.5,188.0,177.0,184.5,141900944
2026-07-06,191.0,200.0,183.0,183.0,163686093
2026-07-07,184.0,186.0,172.0,174.0,142095545
2026-07-08,177.5,181.5,165.0,168.5,146196884
2026-07-09,173.5,184.0,170.0,176.5,160890217
2026-07-13,181.5,183.0,166.0,167.0,149251061
2026-07-14,170.0,172.5,156.0,164.5,135442057
2026-07-15,175.5,180.5,173.5,180.5,95140846
2026-07-16,176.0,180.5,171.0,172.0,150613446
2026-07-17,159.5,162.5,155.0,155.0,110525648
2026-07-20,155.0,157.0,146.0,151.0,107223362
2026-07-21,156.0,158.0,152.0,155.5,104783854
2026-07-22,165.0,171.0,164.5,171.0,97387194
2026-07-23,172.0,172.0,157.0,161.0,157825138
2026-07-24,158.5,164.0,153.5,154.5,135375417
2026-07-27,155.0,161.0,150.0,160.0,110420180
2026-07-28,144.0,147.0,144.0,144.0,69129108
2026-07-29,137.0,137.5,130.0,130.0,86091045
2026-07-30,123.5,133.0,117.0,118.5,211417971
2026-07-31,130.0,130.0,130.0,130.0,21043331
2026-08-03,134.0,143.0,133.5,143.0,77515412
2026-08-04,145.0,157.0,144.0,157.0,121631665
2026-08-05,167.0,172.5,164.5,169.0,232656923
2026-08-06,165.5,173.0,162.0,171.0,185766803
2026-08-07,170.0,170.5,160.5,163.5,176709453
2026-08-10,169.0,179.5,168.5,179.5,154758322
2026-08-11,178.0,181.0,172.5,178.0,194693938
2026-08-12,186.5,193.0,174.5,177.0,207363846
2026-08-13,183.0,185.0,177.0,177.0,227421621
2026-08-14,183.0,191.0,180.5,183.5,241145687
2026-08-17,185.5,190.0,181.5,181.5,128521974
2026-08-18,186.0,192.0,176.0,176.5,183343610
2026-08-19,167.0,169.5,165.0,168.0,113062347
2026-08-20,174.0,180.5,172.0,176.5,149809828
2026-08-21,176.0,182.0,174.5,181.0,114128808
