date,open,high,low,close,volume
2025-08-01,24.15,24.35,24.0,24.15,11575724
2025-08-04,24.0,24.15,23.75,24.15,14124654
2025-08-05,24.2,24.55,24.15,24.45,12711519
2025-08-06,24.45,24.5,24.3,24.35,6790212
2025-08-07,24.4,24.5,24.3,24.3,7354770
2025-08-08,24.35,24.55,24.25,24.35,9677836
2025-08-11,24.35,24.9,24.2,24.6,15471976
2025-08-12,24.6,25.15,24.55,24.75,15715129
2025-08-14,23.0,23.8,22.65,23.8,73515862
2025-08-15,23.7,23.75,23.35,23.7,35558069
2025-08-18,23.7,24.1,23.5,23.9,38172033
2025-08-19,23.85,23.95,23.3,23.3,38577907
2025-08-20,23.35,23.5,23.05,23.35,30283028
2025-08-21,23.4,23.5,23.15,23.2,29698001
2025-08-22,23.4,23.55,23.0,23.1,39143289
2025-08-25,23.3,23.3,22.95,23.3,23852714
2025-08-26,23.2,23.35,22.95,23.1,38543601
2025-08-27,23.1,23.15,23.0,23.0,20760816
2025-08-28,23.0,23.05,22.8,22.8,27213030
2025-08-29,22.8,22.8,22.35,22.45,41530248
2025-09-01,22.3,22.7,22.25,22.35,19170872
2025-09-02,22.35,22.45,22.05,22.1,26563110
2025-09-03,22.25,22.55,22.2,22.35,16378731
2025-09-04,22.4,22.7,22.35,22.65,18286009
2025-09-05,22.7,22.75,22.45,22.65,12688197
2025-09-08,22.5,22.5,22.05,22.3,35223119
2025-09-09,22.35,22.45,22.15,22.4,36296148
2025-09-10,22.45,23.0,22.25,22.95,45743034
2025-09-11,23.0,23.0,22.3,22.3,32677659
2025-09-12,22.35,22.55,22.2,22.35,27808628
2025-09-15,22.45,22.6,22.3,22.35,19014937
2025-09-16,22.35,22.45,22.2,22.25,13490117
2025-09-17,22.3,22.5,22.2,22.2,24236146
2025-09-18,22.3,22.4,22.2,22.2,21563887
2025-09-19,22.2,23.35,22.15,23.35,189463031
2025-09-22,23.45,24.7,23.1,24.6,144904986
2025-09-23,24.05,24.05,23.5,23.75,66096545
2025-09-24,23.75,23.75,23.4,23.45,36320099
2025-09-25,23.5,24.3,23.5,23.95,50316369
2025-09-26,23.9,23.95,23.55,23.8,26848861
2025-09-30,24.1,24.4,23.9,24.0,39101788
2025-10-01,24.3,24.5,23.7,23.8,42802396
2025-10-02,24.0,24.05,23.65,23.75,21523173
2025-10-03,23.85,24.1,23.7,23.7,23168217
2025-10-07,23.65,23.75,23.45,23.6,31336510
2025-10-08,23.6,23.75,23.4,23.4,21925139
2025-10-09,23.45,23.7,23.4,23.45,18455320
2025-10-13,23.1,23.25,22.75,23.0,32976034
2025-10-14,23.1,23.3,22.8,22.9,25371337
2025-10-15,23.0,23.15,22.9,22.95,19381560
2025-10-16,23.05,23.25,22.95,23.0,13340758
2025-10-17,23.0,23.6,23.0,23.35,33315894
2025-10-20,23.5,23.8,23.15,23.25,22244742
2025-10-21,23.35,23.35,22.85,22.9,24423223
2025-10-22,22.95,23.15,22.9,22.95,15962992
2025-10-23,23.05,23.2,22.85,23.05,12272913
2025-10-27,23.25,23.4,22.85,22.95,21389049
2025-10-28,23.05,23.1,22.7,22.8,19420236
2025-10-29,22.8,22.85,22.5,22.55,22251060
2025-10-30,22.55,22.65,22.25,22.3,26494384
2025-10-31,22.4,22.4,22.1,22.1,22424576
2025-11-03,22.1,22.15,21.5,21.5,44983386
2025-11-04,21.5,21.7,21.05,21.1,34180546
2025-11-05,21.1,21.15,20.9,21.1,18062138
2025-11-06,21.25,21.6,21.1,21.5,15026453
2025-11-07,21.45,21.9,21.35,21.75,16739628
2025-11-10,21.85,21.9,21.65,21.9,13051188
2025-11-11,22.0,22.35,21.95,22.0,24591975
2025-11-12,22.05,22.45,22.0,22.25,21800585
2025-11-13,22.15,22.15,21.6,21.9,30454883
2025-11-14,21.7,21.85,21.45,21.5,26606192
2025-11-17,21.55,21.7,21.45,21.5,18077932
2025-11-18,21.35,21.35,20.85,20.85,34186331
2025-11-19,20.85,20.85,20.25,20.4,36219463
2025-11-20,20.55,20.75,20.35,20.7,24487788
2025-11-21,20.5,20.85,20.45,20.55,24685964
2025-11-24,20.8,21.35,20.8,21.2,45105494
2025-11-25,21.3,21.35,20.95,21.2,23375276
2025-11-26,21.35,22.05,21.35,21.95,30791526
2025-11-27,21.85,22.15,21.75,22.1,24336287
2025-11-28,22.5,23.0,22.35,22.85,52859340
2025-12-01,22.85,23.45,22.75,22.8,36403182
2025-12-02,22.9,23.0,22.7,22.8,22416900
2025-12-03,22.85,23.05,22.65,22.9,18924305
2025-12-04,22.9,23.3,22.9,22.95,23246432
2025-12-05,23.0,23.0,22.4,22.7,22930834
2025-12-08,22.7,22.9,22.5,22.55,15342295
2025-12-09,22.6,23.05,22.55,22.9,26111068
2025-12-10,22.9,23.0,22.65,22.65,17901133
2025-12-11,22.65,22.8,22.25,22.35,23624136
2025-12-12,22.6,22.75,22.3,22.35,16845074
2025-12-15,22.35,23.2,22.35,22.85,34554570
2025-12-16,22.75,22.8,22.3,22.3,31803108
2025-12-17,22.3,22.5,22.25,22.4,20861415
2025-12-18,22.25,22.35,22.1,22.2,17898867
2025-12-19,22.35,22.7,22.15,22.5,39193167
2025-12-22,22.75,22.9,22.5,22.6,15430917
2025-12-23,22.7,22.7,22.5,22.65,8302118
